project_id,project_type,material_type,surface_area_m2,num_levels,num_units,building_height_m,num_revisions,revision_reason,planned_start_date,planned_end_date,expected_duration_days,scope_category
P-2022-001,Institutional,Wood,3747,12,1,66.44,0,None,2022-10-01,2023-07-25,297,Complex Infrastructure
P-2022-002,Industrial,Steel,4624,4,1,14.57,1,Client Change,2022-03-12,2022-11-05,238,Complex Infrastructure
P-2022-003,Residential,Mixed,498,3,5,8.45,1,Scope Creep,2022-10-14,2022-11-14,31,New Build - Low Density
P-2022-004,Residential,Steel,314,3,9,10.14,1,Scope Creep,2022-07-09,2022-08-16,38,New Build - Low Density
P-2022-005,Institutional,Mixed,4623,5,1,27.78,1,Site Condition,2022-05-24,2023-01-08,229,Complex Infrastructure
P-2022-006,Industrial,Wood,1128,4,1,14.07,2,Client Change,2022-09-09,2022-11-21,73,Complex Infrastructure
P-2022-007,Commercial,Concrete,1964,2,1,7.69,3,Code Conflict,2022-01-12,2022-04-12,90,Tenant Improvement
P-2022-008,Residential,Mixed,232,2,5,6.08,4,Site Condition,2022-04-02,2022-04-17,15,New Build - Low Density
P-2022-009,Residential,Concrete,351,2,3,6.28,0,None,2022-11-06,2022-12-05,29,New Build - Low Density
P-2022-010,Commercial,Steel,1359,3,1,14.42,1,Client Change,2022-10-15,2022-11-24,40,Tenant Improvement
P-2022-011,Institutional,Concrete,4099,4,1,17.92,0,None,2022-08-04,2023-02-08,188,Complex Infrastructure
P-2022-012,Commercial,Steel,1486,6,1,26.47,2,Scope Creep,2022-07-24,2022-10-14,82,Tenant Improvement
P-2022-013,Residential,Concrete,388,2,9,5.95,3,Code Conflict,2022-11-25,2022-12-20,25,New Build - Low Density
P-2022-014,Institutional,Steel,4115,2,1,9.24,2,Code Conflict,2022-06-01,2022-11-09,161,Complex Infrastructure
P-2022-015,Institutional,Wood,2936,10,1,54.77,1,Client Change,2022-07-19,2023-02-03,199,Complex Infrastructure
P-2022-016,Residential,Wood,592,2,6,6.31,1,Client Change,2022-04-14,2022-05-17,33,New Build - Low Density
P-2022-017,Commercial,Steel,1191,3,1,12.18,0,None,2022-11-11,2023-01-15,65,Tenant Improvement
P-2022-018,Residential,Steel,371,2,4,5.85,1,Code Conflict,2022-06-27,2022-07-29,32,New Build - Low Density
P-2022-019,Industrial,Mixed,1968,14,1,56.01,1,Code Conflict,2022-04-06,2022-09-12,159,Complex Infrastructure
P-2022-020,Commercial,Mixed,1399,4,1,17.12,4,Code Conflict,2022-03-20,2022-05-14,55,Tenant Improvement
P-2022-021,Commercial,Mixed,885,3,1,11.26,1,Code Conflict,2022-02-22,2022-04-08,45,New Build - Mid Density
P-2022-022,Industrial,Wood,1860,8,1,30.08,1,Code Conflict,2022-10-26,2023-04-13,169,Complex Infrastructure
P-2022-023,Commercial,Mixed,1404,5,1,21.56,3,Client Change,2022-05-16,2022-07-25,70,New Build - Mid Density
P-2022-024,Institutional,Wood,4590,9,1,44.96,0,None,2022-08-02,2023-05-16,287,Complex Infrastructure
P-2022-025,Commercial,Mixed,1724,3,1,11.84,1,Code Conflict,2022-02-02,2022-04-16,73,New Build - Mid Density
P-2022-026,Industrial,Concrete,3051,9,1,43.44,1,Scope Creep,2022-06-17,2022-12-12,178,Complex Infrastructure
P-2022-027,Institutional,Steel,1748,9,1,32.58,1,Client Change,2022-09-20,2023-02-25,158,Complex Infrastructure
P-2022-028,Residential,Mixed,235,1,4,3.39,2,Client Change,2022-02-18,2022-03-08,18,New Build - Low Density
P-2022-029,Industrial,Wood,2654,11,1,56.69,0,None,2022-05-27,2022-10-28,154,Complex Infrastructure
P-2022-030,Residential,Wood,271,2,6,5.92,2,Client Change,2022-07-03,2022-07-24,21,New Build - Low Density
P-2022-031,Industrial,Concrete,4667,4,1,20.97,0,None,2022-05-04,2022-10-12,161,Complex Infrastructure
P-2022-032,Commercial,Steel,869,4,1,18.19,3,Code Conflict,2022-09-08,2022-10-31,53,New Build - Mid Density
P-2022-033,Commercial,Wood,1753,7,1,29.18,0,None,2022-10-12,2023-01-16,96,New Build - Mid Density
P-2022-034,Residential,Concrete,291,1,2,3.4,3,Code Conflict,2022-02-06,2022-02-26,20,New Build - Low Density
P-2022-035,Residential,Steel,139,1,5,2.87,1,Code Conflict,2022-05-23,2022-06-13,21,New Build - Low Density
P-2022-036,Industrial,Mixed,2016,2,1,10.91,2,Scope Creep,2022-11-03,2023-01-10,68,Complex Infrastructure
P-2022-037,Industrial,Concrete,2122,10,1,40.3,1,Scope Creep,2022-11-15,2023-04-23,159,Complex Infrastructure
P-2022-038,Commercial,Mixed,1981,4,1,14.91,2,Scope Creep,2022-07-11,2022-10-01,82,Tenant Improvement
P-2022-039,Institutional,Wood,4660,12,1,59.64,4,Client Change,2022-03-02,2022-10-03,215,Complex Infrastructure
P-2022-040,Institutional,Mixed,1608,6,1,33.62,1,Client Change,2022-09-22,2023-01-16,116,Complex Infrastructure
P-2022-041,Residential,Steel,317,1,6,3.3,0,None,2022-03-14,2022-04-09,26,New Build - Low Density
P-2022-042,Commercial,Steel,864,5,1,18.93,2,Scope Creep,2022-03-04,2022-04-24,51,Tenant Improvement
P-2022-043,Industrial,Concrete,2752,5,1,26.99,1,Client Change,2022-04-02,2022-08-15,135,Complex Infrastructure
P-2022-044,Commercial,Steel,1309,6,1,29.4,2,Client Change,2022-09-05,2022-12-10,96,Tenant Improvement
P-2022-045,Commercial,Wood,1375,4,1,17.89,2,Scope Creep,2022-03-19,2022-05-12,54,New Build - Mid Density
P-2022-046,Industrial,Wood,1014,12,1,64.69,2,Code Conflict,2022-03-23,2022-08-08,138,Complex Infrastructure
P-2022-047,Commercial,Mixed,1016,5,1,20.75,5,Scope Creep,2022-10-22,2022-12-25,64,New Build - Mid Density
P-2022-048,Residential,Mixed,276,2,1,7.5,1,Client Change,2022-08-04,2022-08-26,22,New Build - Low Density
P-2022-049,Industrial,Steel,1067,11,1,45.6,1,Code Conflict,2022-03-25,2022-07-11,108,Complex Infrastructure
P-2022-050,Residential,Mixed,529,1,3,2.99,0,None,2022-02-12,2022-03-04,20,New Build - Low Density
P-2022-051,Residential,Steel,326,1,1,3.31,0,None,2022-10-07,2022-11-04,28,New Build - Low Density
P-2022-052,Industrial,Mixed,3862,2,1,8.49,4,Site Condition,2022-10-20,2023-03-29,160,Complex Infrastructure
P-2022-053,Commercial,Wood,1446,5,1,20.24,4,Scope Creep,2022-04-04,2022-06-19,76,New Build - Mid Density
P-2022-054,Institutional,Steel,3472,4,1,19.33,0,None,2022-06-19,2022-12-14,178,Complex Infrastructure
P-2022-055,Residential,Mixed,150,1,9,3.34,1,Code Conflict,2022-09-13,2022-10-02,19,New Build - Low Density
P-2022-056,Institutional,Concrete,1957,11,1,45.07,1,Site Condition,2022-09-12,2023-02-24,165,Complex Infrastructure
P-2022-057,Institutional,Steel,4115,11,1,46.91,1,Site Condition,2022-03-04,2022-10-28,238,Complex Infrastructure
P-2022-058,Industrial,Concrete,4919,5,1,23.55,2,Code Conflict,2022-09-23,2023-06-28,278,Complex Infrastructure
P-2022-059,Commercial,Steel,828,7,1,33.19,3,Scope Creep,2022-04-28,2022-06-16,49,New Build - Mid Density
P-2022-060,Residential,Steel,180,2,3,6.37,3,Scope Creep,2022-08-07,2022-09-08,32,New Build - Low Density
P-2022-061,Industrial,Concrete,2563,3,1,12.58,2,Site Condition,2022-06-15,2022-10-16,123,Complex Infrastructure
P-2022-062,Industrial,Wood,2475,1,1,4.95,4,Site Condition,2022-08-03,2022-11-28,117,Complex Infrastructure
P-2022-063,Commercial,Concrete,835,6,1,25.86,1,Code Conflict,2022-10-19,2022-12-09,51,Tenant Improvement
P-2022-064,Commercial,Steel,1861,4,1,18.33,1,Code Conflict,2022-05-11,2022-07-27,77,New Build - Mid Density
P-2022-065,Industrial,Mixed,4265,3,1,12.07,1,Code Conflict,2022-04-26,2022-10-11,168,Complex Infrastructure
P-2022-066,Industrial,Steel,3663,5,1,25.18,1,Code Conflict,2022-10-21,2023-03-19,149,Complex Infrastructure
P-2022-067,Commercial,Wood,1410,2,1,8.89,2,Client Change,2022-01-08,2022-03-06,57,New Build - Mid Density
P-2022-068,Residential,Steel,182,1,3,3.0,0,None,2022-05-06,2022-05-26,20,New Build - Low Density
P-2022-069,Industrial,Mixed,4687,14,1,60.16,1,Client Change,2022-05-16,2022-11-16,184,Complex Infrastructure
P-2022-070,Industrial,Wood,2646,10,1,43.15,0,None,2022-06-13,2023-01-08,209,Complex Infrastructure
P-2022-071,Commercial,Steel,720,4,1,14.71,5,Scope Creep,2022-09-04,2022-10-15,41,New Build - Mid Density
P-2022-072,Institutional,Concrete,1185,14,1,66.69,3,Code Conflict,2022-10-28,2023-03-28,151,Complex Infrastructure
P-2022-073,Institutional,Concrete,4298,10,1,33.27,3,Client Change,2022-10-03,2023-04-24,203,Complex Infrastructure
