project_id,project_type,material_type,scope_category,surface_area_m2,num_levels,num_units,building_height_m,floor_area_ratio,planned_start_date,planned_end_date,expected_duration_days,corrected_start_date,corrected_end_date,project_duration_days,actual_duration_days,month_started,quarter,season_flag,holiday_period_flag,total_project_hours,design_hours_total,num_site_visits,num_revisions,revision_reason,num_employees,avg_hours_per_employee
P-2022-001,Institutional,Wood,Complex Infrastructure,3747,12,1,66.44,312.25,2022-10-01,2023-07-25,297,2022-10-01,2023-06-29,271,297,10,4,Autumn,1,1892.71,361.42999999999995,259,0,None,11,172.06454545454545
P-2022-002,Industrial,Steel,Complex Infrastructure,4624,4,1,14.57,1156.0,2022-03-12,2022-11-05,238,2022-03-12,2022-12-02,265,238,3,1,Spring,1,2004.68,422.84,347,1,Client Change,11,182.24363636363637
P-2022-003,Residential,Mixed,New Build - Low Density,498,3,5,8.45,166.0,2022-10-14,2022-11-14,31,2022-10-14,2022-11-15,32,31,10,4,Autumn,0,105.89,26.62,8,1,Scope Creep,11,9.626363636363637
P-2022-004,Residential,Steel,New Build - Low Density,314,3,9,10.14,104.66666666666667,2022-07-09,2022-08-16,38,2022-07-09,2022-08-25,47,38,7,3,Summer,0,100.65,7.21,6,1,Scope Creep,10,10.065000000000001
P-2022-005,Institutional,Mixed,Complex Infrastructure,4623,5,1,27.78,924.6,2022-05-24,2023-01-08,229,2022-05-24,2023-01-21,242,229,5,2,Spring,1,1468.93,276.78,253,1,Site Condition,11,133.5390909090909
P-2022-006,Industrial,Wood,Complex Infrastructure,1128,4,1,14.07,282.0,2022-09-09,2022-11-21,73,2022-09-09,2022-12-05,87,73,9,3,Autumn,1,539.71,117.20999999999998,103,2,Client Change,11,49.06454545454546
P-2022-007,Commercial,Concrete,Tenant Improvement,1964,2,1,7.69,982.0,2022-01-12,2022-04-12,90,2022-01-12,2022-04-02,80,90,1,1,Winter,0,507.21,109.71000000000001,84,3,Code Conflict,11,46.11
P-2022-008,Residential,Mixed,New Build - Low Density,232,2,5,6.08,116.0,2022-04-02,2022-04-17,15,2022-04-02,2022-04-16,14,15,4,2,Spring,0,55.52,5.14,16,4,Site Condition,11,5.047272727272728
P-2022-009,Residential,Concrete,New Build - Low Density,351,2,3,6.28,175.5,2022-11-06,2022-12-05,29,2022-11-06,2022-12-10,34,29,11,4,Autumn,1,180.26,41.519999999999996,28,0,None,11,16.387272727272727
P-2022-010,Commercial,Steel,Tenant Improvement,1359,3,1,14.42,453.0,2022-10-15,2022-11-24,40,2022-10-15,2022-12-03,49,40,10,4,Autumn,1,176.25,29.05,12,1,Client Change,11,16.022727272727273
P-2022-011,Institutional,Concrete,Complex Infrastructure,4099,4,1,17.92,1024.75,2022-08-04,2023-02-08,188,2022-08-04,2023-02-14,194,188,8,3,Summer,1,814.45,180.06,66,0,None,11,74.0409090909091
P-2022-012,Commercial,Steel,Tenant Improvement,1486,6,1,26.47,247.66666666666666,2022-07-24,2022-10-14,82,2022-07-24,2022-10-16,84,82,7,3,Summer,0,743.28,110.99,130,2,Scope Creep,11,67.57090909090908
P-2022-013,Residential,Concrete,New Build - Low Density,388,2,9,5.95,194.0,2022-11-25,2022-12-20,25,2022-11-25,2022-12-20,25,25,11,4,Autumn,1,137.8,25.0,28,3,Code Conflict,11,12.52727272727273
P-2022-014,Institutional,Steel,Complex Infrastructure,4115,2,1,9.24,2057.5,2022-06-01,2022-11-09,161,2022-06-01,2022-11-27,179,161,6,2,Summer,0,1552.8,332.40999999999997,286,2,Code Conflict,11,141.16363636363636
P-2022-015,Institutional,Wood,Complex Infrastructure,2936,10,1,54.77,293.6,2022-07-19,2023-02-03,199,2022-07-19,2023-03-19,243,199,7,3,Summer,1,880.5,177.38,94,1,Client Change,11,80.04545454545455
P-2022-016,Residential,Wood,New Build - Low Density,592,2,6,6.31,296.0,2022-04-14,2022-05-17,33,2022-04-14,2022-05-18,34,33,4,2,Spring,0,214.26,55.08,26,1,Client Change,11,19.478181818181817
P-2022-017,Commercial,Steel,Tenant Improvement,1191,3,1,12.18,397.0,2022-11-11,2023-01-15,65,2022-11-11,2023-01-18,68,65,11,4,Autumn,1,530.83,111.28,101,0,None,11,48.25727272727273
P-2022-018,Residential,Steel,New Build - Low Density,371,2,4,5.85,185.5,2022-06-27,2022-07-29,32,2022-06-27,2022-07-27,30,32,6,2,Summer,0,149.96,30.91,31,1,Code Conflict,11,13.632727272727273
P-2022-019,Industrial,Mixed,Complex Infrastructure,1968,14,1,56.01,140.57142857142858,2022-04-06,2022-09-12,159,2022-04-06,2022-09-05,152,159,4,2,Spring,0,770.5,167.75,66,1,Code Conflict,11,70.04545454545455
P-2022-020,Commercial,Mixed,Tenant Improvement,1399,4,1,17.12,349.75,2022-03-20,2022-05-14,55,2022-03-20,2022-05-13,54,55,3,1,Spring,0,339.4,51.010000000000005,48,4,Code Conflict,11,30.854545454545452
P-2022-021,Commercial,Mixed,New Build - Mid Density,885,3,1,11.26,295.0,2022-02-22,2022-04-08,45,2022-02-23,2022-04-16,52,45,2,1,Winter,0,172.34,40.82,19,1,Code Conflict,11,15.667272727272728
P-2022-022,Industrial,Wood,Complex Infrastructure,1860,8,1,30.08,232.5,2022-10-26,2023-04-13,169,2022-10-26,2023-04-27,183,169,10,4,Autumn,1,844.9399999999999,170.99,145,1,Code Conflict,11,76.81272727272727
P-2022-023,Commercial,Mixed,New Build - Mid Density,1404,5,1,21.56,280.8,2022-05-16,2022-07-25,70,2022-05-16,2022-07-31,76,70,5,2,Spring,0,380.53,84.92,64,3,Client Change,11,34.593636363636364
P-2022-024,Institutional,Wood,Complex Infrastructure,4590,9,1,44.96,510.0,2022-08-02,2023-05-16,287,2022-08-02,2023-06-27,329,287,8,3,Summer,1,1934.34,356.57000000000005,308,0,None,11,175.8490909090909
P-2022-025,Commercial,Mixed,New Build - Mid Density,1724,3,1,11.84,574.6666666666666,2022-02-02,2022-04-16,73,2022-02-02,2022-04-26,83,73,2,1,Winter,0,227.77,54.14000000000001,26,1,Code Conflict,11,20.706363636363637
P-2022-026,Industrial,Concrete,Complex Infrastructure,3051,9,1,43.44,339.0,2022-06-17,2022-12-12,178,2022-06-17,2022-12-18,184,178,6,2,Summer,1,1392.26,282.57,257,1,Scope Creep,11,126.5690909090909
P-2022-027,Institutional,Steel,Complex Infrastructure,1748,9,1,32.58,194.22222222222223,2022-09-20,2023-02-25,158,2022-09-20,2023-03-13,174,158,9,3,Autumn,1,750.3,127.68000000000002,44,1,Client Change,11,68.2090909090909
P-2022-028,Residential,Mixed,New Build - Low Density,235,1,4,3.39,235.0,2022-02-18,2022-03-08,18,2022-02-18,2022-03-08,18,18,2,1,Winter,0,105.78,20.020000000000003,16,2,Client Change,11,9.616363636363637
P-2022-029,Industrial,Wood,Complex Infrastructure,2654,11,1,56.69,241.27272727272728,2022-05-27,2022-10-28,154,2022-05-27,2022-11-12,169,154,5,2,Spring,0,905.02,177.39,148,0,None,11,82.27454545454545
P-2022-030,Residential,Wood,New Build - Low Density,271,2,6,5.92,135.5,2022-07-03,2022-07-24,21,2022-07-03,2022-07-21,18,21,7,3,Summer,0,115.01,16.099999999999998,25,2,Client Change,11,10.455454545454545
P-2022-031,Industrial,Concrete,Complex Infrastructure,4667,4,1,20.97,1166.75,2022-05-04,2022-10-12,161,2022-05-04,2022-10-10,159,161,5,2,Spring,0,663.72,105.94999999999999,61,0,None,11,60.33818181818182
P-2022-032,Commercial,Steel,New Build - Mid Density,869,4,1,18.19,217.25,2022-09-08,2022-10-31,53,2022-09-08,2022-11-09,62,53,9,3,Autumn,0,438.83,98.65,76,3,Code Conflict,11,39.89363636363636
P-2022-033,Commercial,Wood,New Build - Mid Density,1753,7,1,29.18,250.42857142857142,2022-10-12,2023-01-16,96,2022-10-12,2023-02-02,113,96,10,4,Autumn,1,404.27,87.65999999999998,50,0,None,11,36.75181818181818
P-2022-034,Residential,Concrete,New Build - Low Density,291,1,2,3.4,291.0,2022-02-06,2022-02-26,20,2022-02-06,2022-02-22,16,20,2,1,Winter,0,46.22,6.59,1,3,Code Conflict,6,7.703333333333333
P-2022-035,Residential,Steel,New Build - Low Density,139,1,5,2.87,139.0,2022-05-23,2022-06-13,21,2022-05-23,2022-06-12,20,21,5,2,Spring,0,72.85,16.75,12,1,Code Conflict,11,6.622727272727272
