project_id,project_type,material_type,surface_area_m2,num_levels,num_units,building_height_m,planned_start_date,planned_end_date,scope_category,project_notes,engineer_assigned,num_revisions,revision_reason
P-2023-001,Commercial,Mixed,1860,4,1,17.7,2023-09-11,2023-11-27,New Build - Mid Density,"Standard Commercial project scope, focusing on efficient Drafting phase.",Mid-level engineer,2,Code Conflict
P-2024-001,Industrial,Wood,4803,2,1,8.27,2024-01-15,2024-07-08,Complex Infrastructure,"Standard Industrial project scope, focusing on efficient Calculation phase.",Junior engineer,0,None
P-2022-001,Commercial,Steel,562,2,1,7.23,2022-03-15,2022-04-22,New Build - Mid Density,High revision count due to client changes. Requires extra QA effort for Commercial compliance.,Mid-level engineer,3,Site Condition
P-2023-002,Commercial,Steel,1248,4,1,14.28,2023-03-18,2023-05-12,New Build - Mid Density,"Standard Commercial project scope, focusing on efficient Calculation phase.",Senior engineer,0,None
P-2023-003,Industrial,Mixed,2468,14,1,41.35,2023-03-01,2023-09-14,Complex Infrastructure,"Standard Industrial project scope, focusing on efficient Drafting phase.",Lead engineer,2,Client Change
P-2022-002,Industrial,Steel,2239,2,1,6.93,2022-05-11,2022-08-21,Complex Infrastructure,"Standard Industrial project scope, focusing on efficient Drafting phase.",Mid-level engineer,2,Scope Creep
P-2023-004,Institutional,Concrete,1678,13,1,59.5,2023-01-03,2023-06-30,Complex Infrastructure,Complex permitting process expected; started pre-application phase early.,Senior engineer,2,Scope Creep
P-2023-005,Residential,Mixed,552,3,8,9.96,2023-09-14,2023-10-22,New Build - Low Density,"Standard Residential project scope, focusing on efficient Calculation phase.",Mid-level engineer,1,Site Condition
P-2024-002,Commercial,Concrete,1972,7,1,30.0,2024-10-20,2025-01-20,New Build - Mid Density,"Standard Commercial project scope, focusing on efficient Calculation phase.",Mid-level engineer,2,Client Change
P-2023-006,Institutional,Steel,4462,7,1,35.86,2023-12-07,2024-06-25,Complex Infrastructure,"Standard Institutional project scope, focusing on efficient Calculation phase.",Senior engineer,0,None
P-2024-003,Commercial,Mixed,1311,3,1,13.83,2024-06-15,2024-08-20,New Build - Mid Density,"Standard Commercial project scope, focusing on efficient Drafting phase.",Senior engineer,0,None
P-2022-003,Institutional,Steel,4339,5,1,26.95,2022-06-15,2023-02-05,Complex Infrastructure,Complex permitting process expected; started pre-application phase early.,Senior engineer,2,Scope Creep
P-2022-004,Institutional,Steel,3637,12,1,61.18,2022-12-19,2023-07-15,Complex Infrastructure,"Standard Institutional project scope, focusing on efficient Drafting phase.",Senior engineer,1,Scope Creep
